"","area","st","occ_code","occ_title","tot_emp","h_mean","a_mean","h_median","a_median","year","State","Est_Population"
"2013","02","AK",2021,"dental hygienists",430,44.38,92300,44.79,93160,2008,"Alaska",687455
"2014","04","AZ",1021,"dentists, general",2500,72.37,150530,63.78,132660,2008,"Arizona",6280362
"2015","04","AZ",1062,"family and general practitioners",1340,73.82,153540,70.34,146300,2008,"Arizona",6280362
"2016","04","AZ",1069,"physicians and surgeons, all other",4380,86.7,180340,NA,NA,2008,"Arizona",6280362
"2017","04","AZ",1141,"registered nurses",37780,31.12,64740,30.59,63640,2008,"Arizona",6280362
"2018","04","AZ",2021,"dental hygienists",3030,33.59,69860,35.79,74450,2008,"Arizona",6280362
"2019","05","AR",1021,"dentists, general",550,80.05,166500,NA,NA,2008,"Arkansas",2874554
"2020","05","AR",1062,"family and general practitioners",1040,90.81,188880,NA,NA,2008,"Arkansas",2874554
"2021","05","AR",1069,"physicians and surgeons, all other",2460,71.37,148450,72.72,151260,2008,"Arkansas",2874554
"2022","05","AR",1141,"registered nurses",23000,26.58,55280,24.78,51540,2008,"Arkansas",2874554
"2023","05","AR",2021,"dental hygienists",1410,29.38,61100,29.67,61700,2008,"Arkansas",2874554
"2024","06","CA",1021,"dentists, general",10830,67.78,140990,59.63,124030,2008,"California",36604337
"2025","06","CA",1062,"family and general practitioners",10640,68.57,142620,67.46,140330,2008,"California",36604337
"2026","06","CA",1069,"physicians and surgeons, all other",20120,87.17,181310,NA,NA,2008,"California",36604337
"2027","06","CA",1141,"registered nurses",240470,39.92,83040,38.93,80980,2008,"California",36604337
"2028","06","CA",2021,"dental hygienists",18890,40.88,85030,42.05,87460,2008,"California",36604337
"2029","08","CO",1021,"dentists, general",1770,75.65,157340,72.22,150220,2008,"Colorado",4889730
"2030","08","CO",1062,"family and general practitioners",1920,75.98,158050,70.9,147480,2008,"Colorado",4889730
"2031","08","CO",1069,"physicians and surgeons, all other",3620,70.66,146980,74.75,155470,2008,"Colorado",4889730
"2032","08","CO",1141,"registered nurses",39440,30.91,64280,30.76,63980,2008,"Colorado",4889730
"2033","08","CO",2021,"dental hygienists",3070,35.71,74280,36.46,75830,2008,"Colorado",4889730
"2034","09","CT",1021,"dentists, general",890,77.61,161420,79.14,164600,2008,"Connecticut",3545579
"2035","09","CT",1062,"family and general practitioners",710,77.32,160830,72.92,151670,2008,"Connecticut",3545579
"2036","09","CT",1069,"physicians and surgeons, all other",2380,83.92,174560,NA,NA,2008,"Connecticut",3545579
"2037","09","CT",1141,"registered nurses",35370,33.82,70350,33.11,68880,2008,"Connecticut",3545579
"2038","09","CT",2021,"dental hygienists",2970,34.54,71850,35.9,74680,2008,"Connecticut",3545579
"2039","10","DE",1021,"dentists, general",330,90.19,187600,NA,NA,2008,"Delaware",883874
"2040","10","DE",1062,"family and general practitioners",340,81.04,168570,76.41,158930,2008,"Delaware",883874
"2041","10","DE",1069,"physicians and surgeons, all other",1170,77.43,161060,NA,NA,2008,"Delaware",883874
"2042","10","DE",1141,"registered nurses",9060,33.13,68900,32.43,67460,2008,"Delaware",883874
"2043","10","DE",2021,"dental hygienists",510,32.47,67540,34.46,71680,2008,"Delaware",883874
"2044","11","DC",1021,"dentists, general",250,74.71,155400,62.04,129050,2008,"District of Columbia",580236
"2045","11","DC",1062,"family and general practitioners",NA,80.16,166740,79.59,165550,2008,"District of Columbia",580236
"2046","11","DC",1069,"physicians and surgeons, all other",1150,81.89,170330,77.27,160720,2008,"District of Columbia",580236
"2047","11","DC",1141,"registered nurses",9240,35.11,73040,35.06,72930,2008,"District of Columbia",580236
"2048","11","DC",2021,"dental hygienists",390,33.24,69130,34.53,71820,2008,"District of Columbia",580236
"2049","12","FL",1021,"dentists, general",4750,72.57,150940,71.22,148140,2008,"Florida",18527305
"2050","12","FL",1062,"family and general practitioners",NA,69.75,145070,70.07,145740,2008,"Florida",18527305
"2051","12","FL",1069,"physicians and surgeons, all other",19980,83.69,174070,NA,NA,2008,"Florida",18527305
"2052","12","FL",1141,"registered nurses",146040,29.46,61290,28.47,59220,2008,"Florida",18527305
"2053","12","FL",2021,"dental hygienists",9040,28.37,59010,28.68,59660,2008,"Florida",18527305
"2054","13","GA",1021,"dentists, general",2690,82.35,171280,NA,NA,2008,"Georgia",9504843
"2055","13","GA",1062,"family and general practitioners",2760,85.43,177700,NA,NA,2008,"Georgia",9504843
"2056","13","GA",1069,"physicians and surgeons, all other",4720,95.43,198500,NA,NA,2008,"Georgia",9504843
"2057","13","GA",1141,"registered nurses",64920,28.83,59960,28.64,59570,2008,"Georgia",9504843
"2058","13","GA",2021,"dental hygienists",5550,30.5,63440,32.38,67340,2008,"Georgia",9504843
"2059","15","HI",1021,"dentists, general",510,69.36,144280,61.58,128080,2008,"Hawaii",1332213
"2060","15","HI",1062,"family and general practitioners",940,76.45,159010,74.08,154100,2008,"Hawaii",1332213
"2061","15","HI",1069,"physicians and surgeons, all other",750,94.99,197570,NA,NA,2008,"Hawaii",1332213
"2062","15","HI",1141,"registered nurses",8760,37.47,77950,38.17,79390,2008,"Hawaii",1332213
"2063","15","HI",2021,"dental hygienists",750,31.39,65290,31.88,66310,2008,"Hawaii",1332213
"2064","16","ID",1021,"dentists, general",570,74.08,154090,77.19,160560,2008,"Idaho",1534320
"2065","16","ID",1062,"family and general practitioners",210,80.84,168140,74.54,155040,2008,"Idaho",1534320
"2066","16","ID",1069,"physicians and surgeons, all other",780,78.62,163520,NA,NA,2008,"Idaho",1534320
"2067","16","ID",1141,"registered nurses",10850,27.78,57770,26.85,55850,2008,"Idaho",1534320
"2068","16","ID",2021,"dental hygienists",1050,32.57,67750,33.62,69930,2008,"Idaho",1534320
"2069","17","IL",1021,"dentists, general",4360,72.04,149840,70.18,145980,2008,"Illinois",12747038
"2070","17","IL",1062,"family and general practitioners",2810,71.08,147840,73.65,153200,2008,"Illinois",12747038
"2071","17","IL",1069,"physicians and surgeons, all other",11680,73.49,152850,74.41,154760,2008,"Illinois",12747038
"2072","17","IL",1141,"registered nurses",108820,30.78,64020,30.02,62440,2008,"Illinois",12747038
"2073","17","IL",2021,"dental hygienists",7370,30.2,62810,31.59,65700,2008,"Illinois",12747038
"2074","18","IN",1021,"dentists, general",1710,76,158080,67.82,141070,2008,"Indiana",6424806
"2075","18","IN",1062,"family and general practitioners",2460,76.42,158950,74.97,155930,2008,"Indiana",6424806
"2076","18","IN",1069,"physicians and surgeons, all other",4480,97.63,203070,NA,NA,2008,"Indiana",6424806
"2077","18","IN",1141,"registered nurses",56500,27.48,57160,26.91,55980,2008,"Indiana",6424806
"2078","18","IN",2021,"dental hygienists",3990,30.72,63900,31.45,65410,2008,"Indiana",6424806
"2079","19","IA",1021,"dentists, general",640,73.48,152830,63.7,132490,2008,"Iowa",3016734
"2080","19","IA",1062,"family and general practitioners",1790,84.38,175500,NA,NA,2008,"Iowa",3016734
"2081","19","IA",1069,"physicians and surgeons, all other",1430,88.39,183860,NA,NA,2008,"Iowa",3016734
"2082","19","IA",1141,"registered nurses",30170,24.37,50700,23.71,49320,2008,"Iowa",3016734
"2083","19","IA",2021,"dental hygienists",1870,30.02,62450,29.96,62310,2008,"Iowa",3016734
"2084","20","KS",1021,"dentists, general",660,77.6,161410,73.81,153530,2008,"Kansas",2808076
"2085","20","KS",1062,"family and general practitioners",1160,86.87,180690,NA,NA,2008,"Kansas",2808076
"2086","20","KS",1069,"physicians and surgeons, all other",1580,79.27,164880,NA,NA,2008,"Kansas",2808076
"2087","20","KS",1141,"registered nurses",25020,26.2,54500,25.13,52270,2008,"Kansas",2808076
"2088","20","KS",2021,"dental hygienists",1830,31.14,64780,32.73,68080,2008,"Kansas",2808076
"2089","21","KY",1021,"dentists, general",750,75.01,156010,69.88,145350,2008,"Kentucky",4289878
"2090","21","KY",1062,"family and general practitioners",1040,78.73,163760,75.31,156640,2008,"Kentucky",4289878
"2091","21","KY",1069,"physicians and surgeons, all other",2560,82.8,172230,NA,NA,2008,"Kentucky",4289878
"2092","21","KY",1141,"registered nurses",41080,27.3,56780,26.41,54940,2008,"Kentucky",4289878
"2093","21","KY",2021,"dental hygienists",1790,26.75,55630,27,56170,2008,"Kentucky",4289878
"2094","22","LA",1021,"dentists, general",760,66.61,138550,64.8,134780,2008,"Louisiana",4435586
"2095","22","LA",1062,"family and general practitioners",870,83.19,173040,NA,NA,2008,"Louisiana",4435586
"2096","22","LA",1069,"physicians and surgeons, all other",3310,87.34,181680,NA,NA,2008,"Louisiana",4435586
"2097","22","LA",1141,"registered nurses",39610,28.52,59320,27.28,56750,2008,"Louisiana",4435586
"2098","22","LA",2021,"dental hygienists",1800,28.98,60270,25.74,53540,2008,"Louisiana",4435586
"2099","23","ME",1021,"dentists, general",360,86.87,180690,NA,NA,2008,"Maine",1330509
"2100","23","ME",1062,"family and general practitioners",740,72.84,151500,69.01,143550,2008,"Maine",1330509
"2101","23","ME",1069,"physicians and surgeons, all other",1260,78.31,162890,NA,NA,2008,"Maine",1330509
"2102","23","ME",1141,"registered nurses",14050,28.61,59520,28.1,58440,2008,"Maine",1330509
"2103","23","ME",2021,"dental hygienists",1120,29.04,60410,29.22,60770,2008,"Maine",1330509
"2104","24","MD",1021,"dentists, general",1940,69.74,145060,64.21,133550,2008,"Maryland",5684965
"2105","24","MD",1062,"family and general practitioners",2280,75.51,157060,70.65,146960,2008,"Maryland",5684965
"2106","24","MD",1069,"physicians and surgeons, all other",8980,66.01,137290,60.73,126310,2008,"Maryland",5684965
"2107","24","MD",1141,"registered nurses",50780,35.75,74370,35.62,74100,2008,"Maryland",5684965
"2108","24","MD",2021,"dental hygienists",2640,33.71,70120,34.84,72470,2008,"Maryland",5684965
"2109","25","MA",1021,"dentists, general",2230,73.2,152260,68.43,142330,2008,"Massachusetts",6468967
"2110","25","MA",1062,"family and general practitioners",1610,89.04,185200,NA,NA,2008,"Massachusetts",6468967
"2111","25","MA",1069,"physicians and surgeons, all other",8200,79.88,166160,NA,NA,2008,"Massachusetts",6468967
"2112","25","MA",1141,"registered nurses",79670,38.17,79390,36.58,76080,2008,"Massachusetts",6468967
"2113","25","MA",2021,"dental hygienists",5570,35.77,74400,36.44,75800,2008,"Massachusetts",6468967
"2114","26","MI",1021,"dentists, general",3630,78.33,162930,74.46,154880,2008,"Michigan",9946889
"2115","26","MI",1062,"family and general practitioners",4740,81.62,169760,79.5,165350,2008,"Michigan",9946889
"2116","26","MI",1069,"physicians and surgeons, all other",10840,69.09,143700,69.09,143710,2008,"Michigan",9946889
"2117","26","MI",1141,"registered nurses",86580,30.34,63100,29.85,62080,2008,"Michigan",9946889
"2118","26","MI",2021,"dental hygienists",8830,29.11,60550,29.27,60880,2008,"Michigan",9946889
"2119","27","MN",1021,"dentists, general",1510,80.04,166480,NA,NA,2008,"Minnesota",5247018
"2120","27","MN",1062,"family and general practitioners",3670,79.47,165290,75.26,156550,2008,"Minnesota",5247018
"2121","27","MN",1069,"physicians and surgeons, all other",4900,99.39,206730,NA,NA,2008,"Minnesota",5247018
"2122","27","MN",1141,"registered nurses",55730,33.92,70560,33.37,69410,2008,"Minnesota",5247018
"2123","27","MN",2021,"dental hygienists",4210,32.7,68020,33.47,69620,2008,"Minnesota",5247018
"2124","28","MS",1021,"dentists, general",630,70.9,147480,65.01,135230,2008,"Mississippi",2947806
"2125","28","MS",1062,"family and general practitioners",1610,84.07,174870,NA,NA,2008,"Mississippi",2947806
"2126","28","MS",1069,"physicians and surgeons, all other",530,91.18,189660,NA,NA,2008,"Mississippi",2947806
"2127","28","MS",1141,"registered nurses",27350,27,56160,25.5,53040,2008,"Mississippi",2947806
"2128","28","MS",2021,"dental hygienists",1220,23.03,47900,23.26,48380,2008,"Mississippi",2947806
"2129","29","MO",1021,"dentists, general",1590,80.21,166830,NA,NA,2008,"Missouri",5923916
"2130","29","MO",1062,"family and general practitioners",4100,72.59,150980,72.31,150410,2008,"Missouri",5923916
"2131","29","MO",1069,"physicians and surgeons, all other",4570,75.13,156270,NA,NA,2008,"Missouri",5923916
"2132","29","MO",1141,"registered nurses",60100,27.24,56670,26.38,54860,2008,"Missouri",5923916
"2133","29","MO",2021,"dental hygienists",2330,30.29,63000,30.6,63640,2008,"Missouri",5923916
"2134","30","MT",1021,"dentists, general",290,67.01,139380,58.54,121760,2008,"Montana",976415
"2135","30","MT",1062,"family and general practitioners",390,65.01,135220,67.05,139470,2008,"Montana",976415
"2136","30","MT",1069,"physicians and surgeons, all other",790,81.53,169570,NA,NA,2008,"Montana",976415
"2137","30","MT",1141,"registered nurses",7480,26.47,55060,26.11,54310,2008,"Montana",976415
"2138","30","MT",2021,"dental hygienists",700,31.69,65920,32.01,66580,2008,"Montana",976415
"2139","31","NE",1021,"dentists, general",430,81.36,169230,76.74,159610,2008,"Nebraska",1796378
"2140","31","NE",1062,"family and general practitioners",1210,78.04,162320,74.26,154460,2008,"Nebraska",1796378
"2141","31","NE",1069,"physicians and surgeons, all other",1300,62.47,129930,48.61,101110,2008,"Nebraska",1796378
"2142","31","NE",1141,"registered nurses",18930,25.71,53490,24.77,51520,2008,"Nebraska",1796378
"2143","31","NE",2021,"dental hygienists",840,30.33,63090,30.09,62580,2008,"Nebraska",1796378
"2144","32","NV",1021,"dentists, general",830,77.8,161830,70.77,147200,2008,"Nevada",2653630
"2145","32","NV",1062,"family and general practitioners",NA,78.3,162850,75.84,157740,2008,"Nevada",2653630
"2146","32","NV",1069,"physicians and surgeons, all other",980,96.35,200410,NA,NA,2008,"Nevada",2653630
"2147","32","NV",1141,"registered nurses",15950,33.99,70700,34.41,71580,2008,"Nevada",2653630
"2148","32","NV",2021,"dental hygienists",1330,36.37,75650,37.53,78060,2008,"Nevada",2653630
"2149","33","NH",1021,"dentists, general",270,79.97,166330,76.63,159400,2008,"New Hampshire",1315906
"2150","33","NH",1062,"family and general practitioners",440,77.18,160540,73.61,153120,2008,"New Hampshire",1315906
"2151","33","NH",1069,"physicians and surgeons, all other",1520,96.97,201700,NA,NA,2008,"New Hampshire",1315906
"2152","33","NH",1141,"registered nurses",13110,28.95,60210,28.19,58630,2008,"New Hampshire",1315906
"2153","33","NH",2021,"dental hygienists",1200,34.59,71950,35.68,74210,2008,"New Hampshire",1315906
"2154","34","NJ",1021,"dentists, general",3390,72,149760,64.84,134870,2008,"New Jersey",8711090
"2155","34","NJ",1062,"family and general practitioners",2550,75.97,158010,72.79,151400,2008,"New Jersey",8711090
"2156","34","NJ",1069,"physicians and surgeons, all other",9430,80.19,166800,NA,NA,2008,"New Jersey",8711090
"2157","34","NJ",1141,"registered nurses",75590,35.03,72870,35.11,73030,2008,"New Jersey",8711090
"2158","34","NJ",2021,"dental hygienists",4650,35.33,73480,36.38,75670,2008,"New Jersey",8711090
"2159","35","NM",1021,"dentists, general",610,73.01,151860,67.32,140030,2008,"New Mexico",2010662
"2160","35","NM",1062,"family and general practitioners",1270,75.1,156200,73.27,152390,2008,"New Mexico",2010662
"2161","35","NM",1069,"physicians and surgeons, all other",650,89.57,186310,NA,NA,2008,"New Mexico",2010662
"2162","35","NM",1141,"registered nurses",11900,29.73,61830,29.42,61190,2008,"New Mexico",2010662
"2163","35","NM",2021,"dental hygienists",770,34.6,71970,35.76,74370,2008,"New Mexico",2010662
"2164","36","NY",1021,"dentists, general",6990,73.02,151880,66.76,138870,2008,"New York",19212436
"2165","36","NY",1062,"family and general practitioners",2780,68.51,142510,66.9,139160,2008,"New York",19212436
"2166","36","NY",1069,"physicians and surgeons, all other",39100,71.06,147800,70.64,146930,2008,"New York",19212436
"2167","36","NY",1141,"registered nurses",168850,35.17,73160,34.4,71550,2008,"New York",19212436
"2168","36","NY",2021,"dental hygienists",10670,31.79,66130,30.81,64080,2008,"New York",19212436
"2169","37","NC",1021,"dentists, general",2580,87.74,182500,NA,NA,2008,"North Carolina",9309449
"2170","37","NC",1062,"family and general practitioners",4640,86.04,178960,NA,NA,2008,"North Carolina",9309449
"2171","37","NC",1069,"physicians and surgeons, all other",6040,73.66,153220,NA,NA,2008,"North Carolina",9309449
"2172","37","NC",1141,"registered nurses",84230,27.78,57790,27.04,56240,2008,"North Carolina",9309449
"2173","37","NC",2021,"dental hygienists",5170,29.66,61680,29.84,62070,2008,"North Carolina",9309449
"2174","38","ND",1021,"dentists, general",200,87.2,181380,NA,NA,2008,"North Dakota",657569
"2175","38","ND",1062,"family and general practitioners",390,79.18,164690,74.95,155900,2008,"North Dakota",657569
"2176","38","ND",1069,"physicians and surgeons, all other",350,88.13,183310,NA,NA,2008,"North Dakota",657569
"2177","38","ND",1141,"registered nurses",6340,26.57,55260,25.14,52300,2008,"North Dakota",657569
"2178","38","ND",2021,"dental hygienists",550,26.36,54820,26.51,55140,2008,"North Dakota",657569
"2179","39","OH",1021,"dentists, general",3090,79.52,165400,79.22,164770,2008,"Ohio",11515391
"2180","39","OH",1062,"family and general practitioners",4850,76.99,160140,73.17,152190,2008,"Ohio",11515391
"2181","39","OH",1069,"physicians and surgeons, all other",11220,83.51,173700,NA,NA,2008,"Ohio",11515391
"2182","39","OH",1141,"registered nurses",114930,28.25,58750,27.74,57710,2008,"Ohio",11515391
"2183","39","OH",2021,"dental hygienists",7000,29.61,61580,29.61,61590,2008,"Ohio",11515391
"2184","40","OK",1021,"dentists, general",960,62.84,130710,57.8,120230,2008,"Oklahoma",3668976
"2185","40","OK",1062,"family and general practitioners",2200,80.98,168440,NA,NA,2008,"Oklahoma",3668976
"2186","40","OK",1141,"registered nurses",26760,24.94,51880,24.63,51230,2008,"Oklahoma",3668976
"2187","40","OK",2021,"dental hygienists",1630,29.52,61410,30.44,63320,2008,"Oklahoma",3668976
"2188","41","OR",1021,"dentists, general",980,78.23,162720,73.88,153660,2008,"Oregon",3768748
"2189","41","OR",1062,"family and general practitioners",890,78.73,163750,74.19,154320,2008,"Oregon",3768748
"2190","41","OR",1069,"physicians and surgeons, all other",4020,80.87,168200,NA,NA,2008,"Oregon",3768748
"2191","41","OR",1141,"registered nurses",29980,34.23,71210,34.26,71250,2008,"Oregon",3768748
"2192","41","OR",2021,"dental hygienists",3110,36.75,76440,36.98,76910,2008,"Oregon",3768748
"2193","42","PA",1021,"dentists, general",3300,63.18,131410,56.63,117790,2008,"Pennsylvania",12612285
"2194","42","PA",1062,"family and general practitioners",8610,80.31,167050,78.88,164060,2008,"Pennsylvania",12612285
"2195","42","PA",1069,"physicians and surgeons, all other",9500,73.2,152250,75.6,157250,2008,"Pennsylvania",12612285
"2196","42","PA",1141,"registered nurses",129060,29.51,61390,28.79,59880,2008,"Pennsylvania",12612285
"2197","42","PA",2021,"dental hygienists",7330,27.23,56650,27.08,56320,2008,"Pennsylvania",12612285
"2198","44","RI",1021,"dentists, general",230,80.63,167710,NA,NA,2008,"Rhode Island",1055003
"2199","44","RI",1062,"family and general practitioners",420,89.35,185840,NA,NA,2008,"Rhode Island",1055003
"2200","44","RI",1069,"physicians and surgeons, all other",1480,60.88,126620,48.64,101170,2008,"Rhode Island",1055003
"2201","44","RI",1141,"registered nurses",11360,32.6,67810,32.9,68440,2008,"Rhode Island",1055003
"2202","44","RI",2021,"dental hygienists",770,32.48,67560,32.9,68440,2008,"Rhode Island",1055003
"2203","45","SC",1021,"dentists, general",970,78,162250,72.01,149780,2008,"South Carolina",4528996
"2204","45","SC",1062,"family and general practitioners",1520,81.93,170410,NA,NA,2008,"South Carolina",4528996
"2205","45","SC",1069,"physicians and surgeons, all other",2550,78.54,163370,NA,NA,2008,"South Carolina",4528996
"2206","45","SC",1141,"registered nurses",36880,27.7,57610,27.04,56250,2008,"South Carolina",4528996
"2207","45","SC",2021,"dental hygienists",2630,25.72,53510,25.94,53960,2008,"South Carolina",4528996
"2208","46","SD",1021,"dentists, general",180,79.28,164900,74.49,154940,2008,"South Dakota",799124
"2209","46","SD",1062,"family and general practitioners",320,73.89,153680,74.13,154200,2008,"South Dakota",799124
"2210","46","SD",1069,"physicians and surgeons, all other",250,98.34,204560,NA,NA,2008,"South Dakota",799124
"2211","46","SD",1141,"registered nurses",10010,25.29,52600,24.22,50380,2008,"South Dakota",799124
"2212","46","SD",2021,"dental hygienists",440,28.5,59290,28.63,59550,2008,"South Dakota",799124
"2213","47","TN",1021,"dentists, general",1080,77.48,161150,75.09,156190,2008,"Tennessee",6247411
"2214","47","TN",1062,"family and general practitioners",830,73.6,153080,70.14,145890,2008,"Tennessee",6247411
"2215","47","TN",1069,"physicians and surgeons, all other",4970,84.51,175770,NA,NA,2008,"Tennessee",6247411
"2216","47","TN",1141,"registered nurses",61570,28.37,59000,26.88,55900,2008,"Tennessee",6247411
"2217","47","TN",2021,"dental hygienists",3190,27.31,56810,27.91,58040,2008,"Tennessee",6247411
"2218","48","TX",1021,"dentists, general",4780,73.82,153560,70.93,147530,2008,"Texas",24309039
"2219","48","TX",1062,"family and general practitioners",6220,77.69,161600,79.37,165090,2008,"Texas",24309039
"2220","48","TX",1069,"physicians and surgeons, all other",17710,78.86,164020,NA,NA,2008,"Texas",24309039
"2221","48","TX",1141,"registered nurses",164400,29.7,61780,29.18,60690,2008,"Texas",24309039
"2222","48","TX",2021,"dental hygienists",9710,32.02,66610,33.5,69670,2008,"Texas",24309039
"2223","49","UT",1021,"dentists, general",1090,55.77,116000,48.93,101780,2008,"Utah",2663029
"2224","49","UT",1062,"family and general practitioners",680,83.12,172880,NA,NA,2008,"Utah",2663029
"2225","49","UT",1069,"physicians and surgeons, all other",1470,94.97,197540,NA,NA,2008,"Utah",2663029
"2226","49","UT",1141,"registered nurses",17230,27.91,58050,27.23,56640,2008,"Utah",2663029
"2227","49","UT",2021,"dental hygienists",1530,30.54,63520,31.67,65860,2008,"Utah",2663029
"2228","50","VT",1021,"dentists, general",180,85.13,177070,NA,NA,2008,"Vermont",624151
"2229","50","VT",1062,"family and general practitioners",250,61.98,128910,61.34,127600,2008,"Vermont",624151
"2230","50","VT",1069,"physicians and surgeons, all other",580,84.36,175460,NA,NA,2008,"Vermont",624151
"2231","50","VT",1141,"registered nurses",5900,29.14,60610,28.56,59410,2008,"Vermont",624151
"2232","50","VT",2021,"dental hygienists",670,28.73,59770,29.43,61220,2008,"Vermont",624151
"2233","51","VA",1021,"dentists, general",1940,81.75,170040,NA,NA,2008,"Virginia",7833496
"2234","51","VA",1062,"family and general practitioners",3010,78.9,164100,75.48,156990,2008,"Virginia",7833496
"2235","51","VA",1069,"physicians and surgeons, all other",6070,81.47,169470,NA,NA,2008,"Virginia",7833496
"2236","51","VA",1141,"registered nurses",60040,29.7,61780,28.77,59830,2008,"Virginia",7833496
"2237","51","VA",2021,"dental hygienists",3580,34.58,71930,34.77,72320,2008,"Virginia",7833496
"2238","53","WA",1021,"dentists, general",1760,85.91,178700,NA,NA,2008,"Washington",6562231
"2239","53","WA",1062,"family and general practitioners",1800,73.77,153450,71.37,148440,2008,"Washington",6562231
"2240","53","WA",1069,"physicians and surgeons, all other",3680,87.29,181550,NA,NA,2008,"Washington",6562231
"2241","53","WA",1141,"registered nurses",52020,34.2,71140,34.06,70840,2008,"Washington",6562231
"2242","53","WA",2021,"dental hygienists",5180,42.58,88570,43.84,91200,2008,"Washington",6562231
"2243","54","WV",1021,"dentists, general",290,69.66,144900,63.78,132660,2008,"West Virginia",1840310
"2244","54","WV",1062,"family and general practitioners",1070,86.24,179380,NA,NA,2008,"West Virginia",1840310
"2245","54","WV",1069,"physicians and surgeons, all other",1250,80.95,168380,NA,NA,2008,"West Virginia",1840310
"2246","54","WV",1141,"registered nurses",16910,25.16,52340,24.03,49980,2008,"West Virginia",1840310
"2247","54","WV",2021,"dental hygienists",870,22.28,46340,22.22,46230,2008,"West Virginia",1840310
"2248","55","WI",1021,"dentists, general",1830,76.12,158340,68.59,142660,2008,"Wisconsin",5640996
"2249","55","WI",1062,"family and general practitioners",2890,92.39,192180,NA,NA,2008,"Wisconsin",5640996
"2250","55","WI",1069,"physicians and surgeons, all other",5490,89.27,185670,NA,NA,2008,"Wisconsin",5640996
"2251","55","WI",1141,"registered nurses",51700,29.88,62140,29.27,60880,2008,"Wisconsin",5640996
"2252","55","WI",2021,"dental hygienists",4550,29.05,60420,29.12,60570,2008,"Wisconsin",5640996
"2253","56","WY",1021,"dentists, general",160,61.6,128120,52.31,108800,2008,"Wyoming",546043
"2254","56","WY",1062,"family and general practitioners",280,84.44,175630,NA,NA,2008,"Wyoming",546043
"2255","56","WY",1069,"physicians and surgeons, all other",240,88.47,184020,NA,NA,2008,"Wyoming",546043
"2256","56","WY",1141,"registered nurses",4300,26.39,54880,25.78,53620,2008,"Wyoming",546043
"2257","56","WY",2021,"dental hygienists",380,25.37,52760,25.8,53670,2008,"Wyoming",546043
"2258","01","AL",1021,"dentists, general",890,85.48,177810,NA,NA,2009,"Alabama",4757938
"2259","01","AL",1062,"family and general practitioners",1000,68.68,142850,62.57,130140,2009,"Alabama",4757938
"2260","01","AL",1069,"physicians and surgeons, all other",2880,97.57,202950,NA,NA,2009,"Alabama",4757938
"2261","01","AL",1141,"registered nurses",42880,27.82,57860,26.48,55070,2009,"Alabama",4757938
"2262","01","AL",2021,"dental hygienists",3050,20.66,42970,20.42,42470,2009,"Alabama",4757938
"2263","02","AK",1021,"dentists, general",140,96.02,199720,NA,NA,2009,"Alaska",698895
"2264","02","AK",1062,"family and general practitioners",560,71.86,149470,70.89,147450,2009,"Alaska",698895
"2265","02","AK",1069,"physicians and surgeons, all other",270,80.47,167390,NA,NA,2009,"Alaska",698895
"2266","02","AK",1141,"registered nurses",5010,36.04,74970,35.33,73480,2009,"Alaska",698895
"2267","02","AK",2021,"dental hygienists",520,46.29,96280,47.3,98370,2009,"Alaska",698895
"2268","04","AZ",1021,"dentists, general",2050,77.12,160410,67.39,140160,2009,"Arizona",6343154
"2269","04","AZ",1062,"family and general practitioners",1500,76.44,158990,74.57,155110,2009,"Arizona",6343154
"2270","04","AZ",1069,"physicians and surgeons, all other",4160,89.01,185150,NA,NA,2009,"Arizona",6343154
"2271","04","AZ",1141,"registered nurses",38570,32.27,67130,31.78,66100,2009,"Arizona",6343154
"2272","04","AZ",2021,"dental hygienists",2700,35.58,74000,36.79,76530,2009,"Arizona",6343154
"2273","05","AR",1021,"dentists, general",560,89.76,186710,NA,NA,2009,"Arkansas",2896843
"2274","05","AR",1062,"family and general practitioners",930,99.05,206030,NA,NA,2009,"Arkansas",2896843
"2275","05","AR",1069,"physicians and surgeons, all other",2920,74.04,154010,76.84,159830,2009,"Arkansas",2896843
"2276","05","AR",1141,"registered nurses",23050,27.42,57040,25.1,52210,2009,"Arkansas",2896843
"2277","05","AR",2021,"dental hygienists",1350,30.61,63670,29.9,62200,2009,"Arkansas",2896843
"2278","06","CA",1021,"dentists, general",12150,71.46,148650,61.39,127680,2009,"California",36961229
"2279","06","CA",1062,"family and general practitioners",9170,78.99,164290,74.53,155020,2009,"California",36961229
"2280","06","CA",1069,"physicians and surgeons, all other",21830,90.02,187240,NA,NA,2009,"California",36961229
"2281","06","CA",1141,"registered nurses",233030,40.9,85080,39.86,82910,2009,"California",36961229
"2282","06","CA",2021,"dental hygienists",18340,42.09,87540,43.12,89690,2009,"California",36961229
"2283","08","CO",1021,"dentists, general",1660,71.91,149560,62.18,129340,2009,"Colorado",4972195
"2284","08","CO",1062,"family and general practitioners",1900,88.6,184290,NA,NA,2009,"Colorado",4972195
"2285","08","CO",1069,"physicians and surgeons, all other",3100,89.74,186660,NA,NA,2009,"Colorado",4972195
"2286","08","CO",1141,"registered nurses",41750,32.12,66800,31.74,66010,2009,"Colorado",4972195
"2287","08","CO",2021,"dental hygienists",3380,34.99,72770,36.77,76490,2009,"Colorado",4972195
"2288","09","CT",1021,"dentists, general",860,79.37,165090,75.61,157280,2009,"Connecticut",3561807
