"","st","job_type","occ_code","tot_employment","annual_mean_income","year","State","Est_Population"
"3435","IL","Physicians and Surgeons, All",1060,28870,182446.148250779,2011,"Illinois",12867783
"3436","IN","Dental Hygienists",2021,4010,63940,2011,"Indiana",6517250
"3437","IN","Dentists, All",1020,2070,176531.980676329,2011,"Indiana",6517250
"3438","IN","Nurses",1141,61150,58410,2011,"Indiana",6517250
"3439","IN","Physicians and Surgeons, All",1060,10170,205678.220255654,2011,"Indiana",6517250
"3440","KS","Dental Hygienists",2021,1740,62670,2011,"Kansas",2869677
"3441","KS","Dentists, All",1020,780,NA,2011,"Kansas",2869677
"3442","KS","Nurses",1141,28180,58750,2011,"Kansas",2869677
"3443","KS","Physicians and Surgeons, All",1060,5330,NA,2011,"Kansas",2869677
"3444","KY","Dental Hygienists",2021,1620,57020,2011,"Kentucky",4370817
"3445","KY","Dentists, All",1020,1340,NA,2011,"Kentucky",4370817
"3446","KY","Nurses",1141,44810,60040,2011,"Kentucky",4370817
"3447","KY","Physicians and Surgeons, All",1060,7410,NA,2011,"Kentucky",4370817
"3448","LA","Dental Hygienists",2021,1650,61530,2011,"Louisiana",4576244
"3449","LA","Dentists, All",1020,920,152657.282608696,2011,"Louisiana",4576244
"3450","LA","Nurses",1141,40840,64190,2011,"Louisiana",4576244
"3451","LA","Physicians and Surgeons, All",1060,5600,203601.785714286,2011,"Louisiana",4576244
"3452","MA","Dental Hygienists",2021,5970,78260,2011,"Massachusetts",6614218
"3453","MA","Dentists, All",1020,3420,184531.871345029,2011,"Massachusetts",6614218
"3454","MA","Nurses",1141,87040,86810,2011,"Massachusetts",6614218
"3455","MA","Physicians and Surgeons, All",1060,17860,189363.253079507,2011,"Massachusetts",6614218
"3456","MD","Dental Hygienists",2021,2670,73380,2011,"Maryland",5840241
"3457","MD","Dentists, All",1020,2660,151082.255639098,2011,"Maryland",5840241
"3458","MD","Nurses",1141,49620,75490,2011,"Maryland",5840241
"3459","MD","Physicians and Surgeons, All",1060,15000,174232.853333333,2011,"Maryland",5840241
"3460","ME","Dental Hygienists",2021,1050,70050,2011,"Maine",1328473
"3461","ME","Dentists, All",1020,410,NA,2011,"Maine",1328473
"3462","ME","Nurses",1141,14810,66100,2011,"Maine",1328473
"3463","ME","Physicians and Surgeons, All",1060,3200,NA,2011,"Maine",1328473
"3464","MI","Dental Hygienists",2021,8930,60310,2011,"Michigan",9883053
"3465","MI","Dentists, All",1020,4160,165996.514423077,2011,"Michigan",9883053
"3466","MI","Nurses",1141,89670,65430,2011,"Michigan",9883053
"3467","MI","Physicians and Surgeons, All",1060,21120,NA,2011,"Michigan",9883053
"3468","MN","Dental Hygienists",2021,4260,69960,2011,"Minnesota",5346620
"3469","MN","Dentists, All",1020,1630,NA,2011,"Minnesota",5346620
"3470","MN","Nurses",1141,56660,74250,2011,"Minnesota",5346620
"3471","MN","Physicians and Surgeons, All",1060,12120,NA,2011,"Minnesota",5346620
"3472","MO","Dental Hygienists",2021,2830,69710,2011,"Missouri",6011182
"3473","MO","Dentists, All",1020,1650,138702.424242424,2011,"Missouri",6011182
"3474","MO","Nurses",1141,67630,59620,2011,"Missouri",6011182
"3475","MO","Physicians and Surgeons, All",1060,12300,NA,2011,"Missouri",6011182
"3476","MS","Dental Hygienists",2021,1230,49190,2011,"Mississippi",2979147
"3477","MS","Dentists, All",1020,590,160217.457627119,2011,"Mississippi",2979147
"3478","MS","Nurses",1141,29640,59480,2011,"Mississippi",2979147
"3479","MS","Physicians and Surgeons, All",1060,3520,197533.806818182,2011,"Mississippi",2979147
"3480","MT","Dental Hygienists",2021,710,64810,2011,"Montana",997518
"3481","MT","Dentists, All",1020,310,119590,2011,"Montana",997518
"3482","MT","Nurses",1141,8700,60190,2011,"Montana",997518
"3483","MT","Physicians and Surgeons, All",1060,1330,192723.834586466,2011,"Montana",997518
"3484","NC","Dental Hygienists",2021,5910,63700,2011,"North Carolina",9658913
"3485","NC","Dentists, All",1020,2710,203989.815498155,2011,"North Carolina",9658913
"3486","NC","Nurses",1141,91300,60960,2011,"North Carolina",9658913
"3487","NC","Physicians and Surgeons, All",1060,15600,193553.788461538,2011,"North Carolina",9658913
"3488","ND","Dental Hygienists",2021,610,56330,2011,"North Dakota",685526
"3489","ND","Dentists, All",1020,130,205760,2011,"North Dakota",685526
"3490","ND","Nurses",1141,8960,57600,2011,"North Dakota",685526
"3491","ND","Physicians and Surgeons, All",1060,520,211579.423076923,2011,"North Dakota",685526
"3492","NE","Dental Hygienists",2021,1050,64660,2011,"Nebraska",1840914
"3493","NE","Dentists, All",1020,660,NA,2011,"Nebraska",1840914
"3494","NE","Nurses",1141,19170,58060,2011,"Nebraska",1840914
"3495","NE","Physicians and Surgeons, All",1060,3760,NA,2011,"Nebraska",1840914
"3496","NH","Dental Hygienists",2021,1220,76310,2011,"New Hampshire",1320444
"3497","NH","Dentists, All",1020,300,NA,2011,"New Hampshire",1320444
"3498","NH","Nurses",1141,13850,65280,2011,"New Hampshire",1320444
"3499","NH","Physicians and Surgeons, All",1060,2590,NA,2011,"New Hampshire",1320444
"3500","NJ","Dental Hygienists",2021,5040,80950,2011,"New Jersey",8828552
"3501","NJ","Dentists, All",1020,3970,157628.765743073,2011,"New Jersey",8828552
"3502","NJ","Nurses",1141,78180,76460,2011,"New Jersey",8828552
"3503","NJ","Physicians and Surgeons, All",1060,20030,NA,2011,"New Jersey",8828552
"3504","NM","Dental Hygienists",2021,1020,74980,2011,"New Mexico",2080707
"3505","NM","Dentists, All",1020,630,NA,2011,"New Mexico",2080707
"3506","NM","Nurses",1141,15400,66660,2011,"New Mexico",2080707
"3507","NM","Physicians and Surgeons, All",1060,2900,NA,2011,"New Mexico",2080707
"3508","NV","Dental Hygienists",2021,1280,88620,2011,"Nevada",2713114
"3509","NV","Dentists, All",1020,1140,158050,2011,"Nevada",2713114
"3510","NV","Nurses",1141,16470,77840,2011,"Nevada",2713114
"3511","NV","Physicians and Surgeons, All",1060,3780,NA,2011,"Nevada",2713114
"3512","NY","Dental Hygienists",2021,9690,68440,2011,"New York",19499921
"3513","NY","Dentists, All",1020,7740,162814.599483204,2011,"New York",19499921
"3514","NY","Nurses",1141,176180,75370,2011,"New York",19499921
"3515","NY","Physicians and Surgeons, All",1060,60210,167578.287659857,2011,"New York",19499921
"3516","OH","Dental Hygienists",2021,7460,63410,2011,"Ohio",11545735
"3517","OH","Dentists, All",1020,4190,178291.933174224,2011,"Ohio",11545735
"3518","OH","Nurses",1141,124790,61710,2011,"Ohio",11545735
"3519","OH","Physicians and Surgeons, All",1060,26930,193950.928332714,2011,"Ohio",11545735
"3520","OK","Dental Hygienists",2021,1840,63500,2011,"Oklahoma",3788824
"3521","OK","Dentists, All",1020,1290,156845.11627907,2011,"Oklahoma",3788824
"3522","OK","Nurses",1141,28290,56130,2011,"Oklahoma",3788824
"3523","OK","Physicians and Surgeons, All",1060,3700,192650.297297297,2011,"Oklahoma",3788824
"3524","OR","Dental Hygienists",2021,3090,78980,2011,"Oregon",3872672
"3525","OR","Dentists, All",1020,1310,204141.755725191,2011,"Oregon",3872672
"3526","OR","Nurses",1141,30960,77220,2011,"Oregon",3872672
"3527","OR","Physicians and Surgeons, All",1060,7910,NA,2011,"Oregon",3872672
"3528","PA","Dental Hygienists",2021,8420,58980,2011,"Pennsylvania",12747052
"3529","PA","Dentists, All",1020,3560,NA,2011,"Pennsylvania",12747052
"3530","PA","Nurses",1141,130740,67140,2011,"Pennsylvania",12747052
"3531","PA","Physicians and Surgeons, All",1060,26930,188287.337541775,2011,"Pennsylvania",12747052
"3532","RI","Dental Hygienists",2021,880,70950,2011,"Rhode Island",1053829
"3533","RI","Dentists, All",1020,240,132180,2011,"Rhode Island",1053829
"3534","RI","Nurses",1141,12340,72720,2011,"Rhode Island",1053829
"3535","RI","Physicians and Surgeons, All",1060,2880,NA,2011,"Rhode Island",1053829
"3536","SC","Dental Hygienists",2021,2400,55470,2011,"South Carolina",4672655
"3537","SC","Dentists, All",1020,1120,158641.875,2011,"South Carolina",4672655
"3538","SC","Nurses",1141,42650,61350,2011,"South Carolina",4672655
"3539","SC","Physicians and Surgeons, All",1060,6690,190000.956651719,2011,"South Carolina",4672655
"3540","SD","Dental Hygienists",2021,440,56170,2011,"South Dakota",823740
"3541","SD","Dentists, All",1020,330,NA,2011,"South Dakota",823740
"3542","SD","Nurses",1141,11120,55710,2011,"South Dakota",823740
"3543","SD","Physicians and Surgeons, All",1060,1210,NA,2011,"South Dakota",823740
"3544","TN","Dental Hygienists",2021,3360,62300,2011,"Tennessee",6400298
"3545","TN","Dentists, All",1020,1130,181618.230088496,2011,"Tennessee",6400298
"3546","TN","Nurses",1141,60570,60660,2011,"Tennessee",6400298
"3547","TN","Physicians and Surgeons, All",1060,9420,NA,2011,"Tennessee",6400298
"3548","TX","Dental Hygienists",2021,10850,67190,2011,"Texas",25645504
"3549","TX","Dentists, All",1020,6200,171970.112903226,2011,"Texas",25645504
"3550","TX","Nurses",1141,184890,67580,2011,"Texas",25645504
"3551","TX","Physicians and Surgeons, All",1060,37770,191674.397670109,2011,"Texas",25645504
"3552","UT","Dental Hygienists",2021,2410,65880,2011,"Utah",2814797
"3553","UT","Dentists, All",1020,1170,125540,2011,"Utah",2814797
"3554","UT","Nurses",1141,19100,61540,2011,"Utah",2814797
"3555","UT","Physicians and Surgeons, All",1060,4120,193676.917475728,2011,"Utah",2814797
"3556","VA","Dental Hygienists",2021,4490,81280,2011,"Virginia",8102437
"3557","VA","Dentists, All",1020,2670,NA,2011,"Virginia",8102437
"3558","VA","Nurses",1141,62210,65710,2011,"Virginia",8102437
"3559","VA","Physicians and Surgeons, All",1060,15420,183821.861219196,2011,"Virginia",8102437
"3560","VT","Dental Hygienists",2021,510,70610,2011,"Vermont",627197
"3561","VT","Nurses",1141,6370,65210,2011,"Vermont",627197
"3562","VT","Physicians and Surgeons, All",1060,2080,169214.230769231,2011,"Vermont",627197
"3563","WA","Dental Hygienists",2021,5430,90420,2011,"Washington",6827479
"3564","WA","Dentists, All",1020,2180,NA,2011,"Washington",6827479
"3565","WA","Nurses",1141,54490,74840,2011,"Washington",6827479
"3566","WA","Physicians and Surgeons, All",1060,10950,NA,2011,"Washington",6827479
"3567","WI","Dental Hygienists",2021,4920,60910,2011,"Wisconsin",5705840
"3568","WI","Dentists, All",1020,1750,173775.085714286,2011,"Wisconsin",5705840
"3569","WI","Nurses",1141,56430,64800,2011,"Wisconsin",5705840
"3570","WI","Physicians and Surgeons, All",1060,13730,NA,2011,"Wisconsin",5705840
"3571","WV","Dental Hygienists",2021,900,49720,2011,"West Virginia",1856606
"3572","WV","Dentists, All",1020,490,151879.387755102,2011,"West Virginia",1856606
"3573","WV","Nurses",1141,18280,56820,2011,"West Virginia",1856606
"3574","WV","Physicians and Surgeons, All",1060,3040,180116.513157895,2011,"West Virginia",1856606
"3575","WY","Dental Hygienists",2021,410,66560,2011,"Wyoming",567491
"3576","WY","Dentists, All",1020,170,150590,2011,"Wyoming",567491
"3577","WY","Nurses",1141,4800,60930,2011,"Wyoming",567491
"3578","WY","Physicians and Surgeons, All",1060,1060,NA,2011,"Wyoming",567491
"3579","AK","Dentists, General",1021,150,195350,2011,"Alaska",722349
"3580","AK","Physicians and Surgeons, Family Practitioner",1062,520,194550,2011,"Alaska",722349
"3581","AL","Dentists, General",1021,820,205130,2011,"Alabama",4799642
"3582","AL","Physicians and Surgeons, Family Practitioner",1062,570,176950,2011,"Alabama",4799642
"3583","AR","Dentists, General",1021,810,172920,2011,"Arkansas",2941038
"3584","AR","Physicians and Surgeons, Family Practitioner",1062,1220,215500,2011,"Arkansas",2941038
"3585","AZ","Dentists, General",1021,2040,183330,2011,"Arizona",6473416
"3586","AZ","Physicians and Surgeons, Family Practitioner",1062,1360,171090,2011,"Arizona",6473416
"3587","CA","Dentists, General",1021,11520,148100,2011,"California",37636311
"3588","CA","Physicians and Surgeons, Family Practitioner",1062,10880,174530,2011,"California",37636311
"3589","CO","Dentists, General",1021,1670,138540,2011,"Colorado",5121900
"3590","CO","Physicians and Surgeons, Family Practitioner",1062,2300,183630,2011,"Colorado",5121900
"3591","CT","Dentists, General",1021,820,166200,2011,"Connecticut",3588632
"3592","CT","Physicians and Surgeons, Family Practitioner",1062,920,161330,2011,"Connecticut",3588632
"3593","DC","Dentists, General",1021,320,123560,2011,"District of Columbia",620290
"3594","DC","Physicians and Surgeons, Family Practitioner",1062,580,123540,2011,"District of Columbia",620290
"3595","DE","Dentists, General",1021,270,210440,2011,"Delaware",907590
"3596","DE","Physicians and Surgeons, Family Practitioner",1062,410,149150,2011,"Delaware",907590
"3597","FL","Dentists, General",1021,5130,146520,2011,"Florida",19055607
"3598","FL","Physicians and Surgeons, Family Practitioner",1062,5950,171520,2011,"Florida",19055607
"3599","GA","Dentists, General",1021,2530,191810,2011,"Georgia",9803630
"3600","GA","Physicians and Surgeons, Family Practitioner",1062,2100,189020,2011,"Georgia",9803630
"3601","HI","Dentists, General",1021,380,155490,2011,"Hawaii",1379562
"3602","HI","Physicians and Surgeons, Family Practitioner",1062,700,182340,2011,"Hawaii",1379562
"3603","IA","Dentists, General",1021,770,202640,2011,"Iowa",3066772
"3604","IA","Physicians and Surgeons, Family Practitioner",1062,2160,213460,2011,"Iowa",3066772
"3605","ID","Dentists, General",1021,520,187960,2011,"Idaho",1584272
"3606","ID","Physicians and Surgeons, Family Practitioner",1062,390,175330,2011,"Idaho",1584272
"3607","IL","Dentists, General",1021,5000,121650,2011,"Illinois",12867783
"3608","IL","Physicians and Surgeons, Family Practitioner",1062,6490,179880,2011,"Illinois",12867783
"3609","IN","Dentists, General",1021,1530,184090,2011,"Indiana",6517250
"3610","IN","Physicians and Surgeons, Family Practitioner",1062,2070,177690,2011,"Indiana",6517250
"3611","KS","Dentists, General",1021,700,130550,2011,"Kansas",2869677
"3612","KS","Physicians and Surgeons, Family Practitioner",1062,1180,186830,2011,"Kansas",2869677
"3613","KY","Dentists, General",1021,1150,129610,2011,"Kentucky",4370817
"3614","KY","Physicians and Surgeons, Family Practitioner",1062,990,172260,2011,"Kentucky",4370817
"3615","LA","Dentists, General",1021,810,155210,2011,"Louisiana",4576244
"3616","LA","Physicians and Surgeons, Family Practitioner",1062,1200,183760,2011,"Louisiana",4576244
"3617","MA","Dentists, General",1021,3060,180210,2011,"Massachusetts",6614218
"3618","MA","Physicians and Surgeons, Family Practitioner",1062,1130,186980,2011,"Massachusetts",6614218
"3619","MD","Dentists, General",1021,2510,150180,2011,"Maryland",5840241
"3620","MD","Physicians and Surgeons, Family Practitioner",1062,2890,161430,2011,"Maryland",5840241
"3621","ME","Dentists, General",1021,410,208060,2011,"Maine",1328473
"3622","ME","Physicians and Surgeons, Family Practitioner",1062,670,168870,2011,"Maine",1328473
"3623","MI","Dentists, General",1021,3560,162200,2011,"Michigan",9883053
"3624","MI","Physicians and Surgeons, Family Practitioner",1062,2520,178580,2011,"Michigan",9883053
"3625","MN","Dentists, General",1021,1560,188500,2011,"Minnesota",5346620
"3626","MN","Physicians and Surgeons, Family Practitioner",1062,3190,173930,2011,"Minnesota",5346620
"3627","MO","Dentists, General",1021,1530,134180,2011,"Missouri",6011182
"3628","MO","Physicians and Surgeons, Family Practitioner",1062,3530,184570,2011,"Missouri",6011182
"3629","MS","Dentists, General",1021,530,153590,2011,"Mississippi",2979147
"3630","MS","Physicians and Surgeons, Family Practitioner",1062,1210,178440,2011,"Mississippi",2979147
"3631","MT","Dentists, General",1021,310,119590,2011,"Montana",997518
"3632","MT","Physicians and Surgeons, Family Practitioner",1062,360,154210,2011,"Montana",997518
"3633","NC","Dentists, General",1021,2380,202380,2011,"North Carolina",9658913
"3634","NC","Physicians and Surgeons, Family Practitioner",1062,4160,183240,2011,"North Carolina",9658913
"3635","ND","Dentists, General",1021,130,205760,2011,"North Dakota",685526
"3636","ND","Physicians and Surgeons, Family Practitioner",1062,230,193730,2011,"North Dakota",685526
"3637","NE","Dentists, General",1021,630,159540,2011,"Nebraska",1840914
"3638","NE","Physicians and Surgeons, Family Practitioner",1062,1020,194700,2011,"Nebraska",1840914
"3639","NH","Dentists, General",1021,300,237430,2011,"New Hampshire",1320444
"3640","NH","Physicians and Surgeons, Family Practitioner",1062,520,196150,2011,"New Hampshire",1320444
"3641","NJ","Dentists, General",1021,3470,150940,2011,"New Jersey",8828552
"3642","NJ","Physicians and Surgeons, Family Practitioner",1062,2450,165360,2011,"New Jersey",8828552
"3643","NM","Dentists, General",1021,590,172790,2011,"New Mexico",2080707
"3644","NM","Physicians and Surgeons, Family Practitioner",1062,1450,185660,2011,"New Mexico",2080707
"3645","NV","Dentists, General",1021,1140,158050,2011,"Nevada",2713114
"3646","NV","Physicians and Surgeons, Family Practitioner",1062,1080,204990,2011,"Nevada",2713114
"3647","NY","Dentists, General",1021,6510,151860,2011,"New York",19499921
"3648","NY","Physicians and Surgeons, Family Practitioner",1062,2550,170330,2011,"New York",19499921
"3649","OH","Dentists, General",1021,3420,170220,2011,"Ohio",11545735
"3650","OH","Physicians and Surgeons, Family Practitioner",1062,3930,158330,2011,"Ohio",11545735
"3651","OK","Dentists, General",1021,1100,160560,2011,"Oklahoma",3788824
"3652","OK","Physicians and Surgeons, Family Practitioner",1062,2110,181640,2011,"Oklahoma",3788824
"3653","OR","Dentists, General",1021,1080,200230,2011,"Oregon",3872672
"3654","OR","Physicians and Surgeons, Family Practitioner",1062,960,168920,2011,"Oregon",3872672
"3655","PA","Dentists, General",1021,3340,155740,2011,"Pennsylvania",12747052
"3656","PA","Physicians and Surgeons, Family Practitioner",1062,4660,161430,2011,"Pennsylvania",12747052
"3657","RI","Dentists, General",1021,240,132180,2011,"Rhode Island",1053829
"3658","RI","Physicians and Surgeons, Family Practitioner",1062,160,199240,2011,"Rhode Island",1053829
"3659","SC","Dentists, General",1021,1010,156630,2011,"South Carolina",4672655
"3660","SC","Physicians and Surgeons, Family Practitioner",1062,2290,172950,2011,"South Carolina",4672655
"3661","SD","Dentists, General",1021,330,134660,2011,"South Dakota",823740
"3662","SD","Physicians and Surgeons, Family Practitioner",1062,430,183000,2011,"South Dakota",823740
"3663","TN","Dentists, General",1021,910,171080,2011,"Tennessee",6400298
"3664","TN","Physicians and Surgeons, Family Practitioner",1062,1220,197470,2011,"Tennessee",6400298
"3665","TX","Dentists, General",1021,5840,171330,2011,"Texas",25645504
"3666","TX","Physicians and Surgeons, Family Practitioner",1062,5480,182270,2011,"Texas",25645504
"3667","UT","Dentists, General",1021,1170,125540,2011,"Utah",2814797
"3668","UT","Physicians and Surgeons, Family Practitioner",1062,740,185360,2011,"Utah",2814797
"3669","VA","Dentists, General",1021,2400,195050,2011,"Virginia",8102437
"3670","VA","Physicians and Surgeons, Family Practitioner",1062,2630,161450,2011,"Virginia",8102437
"3671","VT","Physicians and Surgeons, Family Practitioner",1062,270,157200,2011,"Vermont",627197
"3672","WA","Dentists, General",1021,1910,202240,2011,"Washington",6827479
"3673","WA","Physicians and Surgeons, Family Practitioner",1062,1800,159680,2011,"Washington",6827479
"3674","WI","Dentists, General",1021,1720,173310,2011,"Wisconsin",5705840
"3675","WI","Physicians and Surgeons, Family Practitioner",1062,2810,202810,2011,"Wisconsin",5705840
"3676","WV","Dentists, General",1021,450,148050,2011,"West Virginia",1856606
"3677","WV","Physicians and Surgeons, Family Practitioner",1062,980,178940,2011,"West Virginia",1856606
"3678","WY","Dentists, General",1021,170,150590,2011,"Wyoming",567491
"3679","WY","Physicians and Surgeons, Family Practitioner",1062,400,187540,2011,"Wyoming",567491
"3680","AK","Dental Hygienists",2021,430,75820,2012,"Alaska",730810
"3681","AK","Dentists, All",1020,190,186710,2012,"Alaska",730810
"3682","AK","Nurses",1141,5350,80970,2012,"Alaska",730810
"3683","AK","Physicians and Surgeons, All",1060,1110,NA,2012,"Alaska",730810
"3684","AL","Dental Hygienists",2021,3010,45760,2012,"Alabama",4816632
"3685","AL","Dentists, All",1020,880,188830.681818182,2012,"Alabama",4816632
"3686","AL","Nurses",1141,43760,55270,2012,"Alabama",4816632
"3687","AL","Physicians and Surgeons, All",1060,6640,NA,2012,"Alabama",4816632
"3688","AR","Dental Hygienists",2021,1300,58110,2012,"Arkansas",2952876
"3689","AR","Dentists, All",1020,890,NA,2012,"Arkansas",2952876
"3690","AR","Nurses",1141,23480,55360,2012,"Arkansas",2952876
"3691","AR","Physicians and Surgeons, All",1060,4980,196079.297188755,2012,"Arkansas",2952876
"3692","AZ","Dental Hygienists",2021,3390,79700,2012,"Arizona",6556344
"3693","AZ","Dentists, All",1020,2750,NA,2012,"Arizona",6556344
"3694","AZ","Nurses",1141,45600,71390,2012,"Arizona",6556344
"3695","AZ","Physicians and Surgeons, All",1060,10260,NA,2012,"Arizona",6556344
"3696","CA","Dental Hygienists",2021,21200,93280,2012,"California",37944551
"3697","CA","Dentists, All",1020,13110,143755.194508009,2012,"California",37944551
"3698","CA","Nurses",1141,249980,94120,2012,"California",37944551
"3699","CA","Physicians and Surgeons, All",1060,65450,188431.865546218,2012,"California",37944551
"3700","CO","Dental Hygienists",2021,3810,77770,2012,"Colorado",5193660
"3701","CO","Dentists, All",1020,1950,NA,2012,"Colorado",5193660
"3702","CO","Nurses",1141,41380,67920,2012,"Colorado",5193660
"3703","CO","Physicians and Surgeons, All",1060,8360,190808.181818182,2012,"Colorado",5193660
"3704","CT","Dental Hygienists",2021,3760,84320,2012,"Connecticut",3595211
"3705","CT","Dentists, All",1020,1020,184460,2012,"Connecticut",3595211
"3706","CT","Nurses",1141,34820,75660,2012,"Connecticut",3595211
"3707","CT","Physicians and Surgeons, All",1060,7880,NA,2012,"Connecticut",3595211
"3708","DC","Dental Hygienists",2021,0,NA,2012,"District of Columbia",635737
"3709","DC","Dentists, All",1020,340,117410.882352941,2012,"District of Columbia",635737
"3710","DC","Nurses",1141,11310,75790,2012,"District of Columbia",635737
"3711","DC","Physicians and Surgeons, All",1060,4560,150191.557017544,2012,"District of Columbia",635737
"3712","DE","Dental Hygienists",2021,630,69270,2012,"Delaware",915518
"3713","DE","Dentists, All",1020,270,214840,2012,"Delaware",915518
"3714","DE","Nurses",1141,9660,70820,2012,"Delaware",915518
"3715","DE","Physicians and Surgeons, All",1060,2660,NA,2012,"Delaware",915518
"3716","FL","Dental Hygienists",2021,10250,59250,2012,"Florida",19302016
"3717","FL","Dentists, All",1020,5700,150897.894736842,2012,"Florida",19302016
"3718","FL","Nurses",1141,163720,61780,2012,"Florida",19302016
"3719","FL","Physicians and Surgeons, All",1060,34130,NA,2012,"Florida",19302016
"3720","GA","Dental Hygienists",2021,5370,66700,2012,"Georgia",9903580
"3721","GA","Dentists, All",1020,3220,191675.217391304,2012,"Georgia",9903580
"3722","GA","Nurses",1141,64180,60770,2012,"Georgia",9903580
"3723","GA","Physicians and Surgeons, All",1060,16670,201405.020995801,2012,"Georgia",9903580
"3724","HI","Dental Hygienists",2021,1010,68270,2012,"Hawaii",1395199
"3725","HI","Dentists, All",1020,340,143520,2012,"Hawaii",1395199
"3726","HI","Nurses",1141,10060,84750,2012,"Hawaii",1395199
"3727","HI","Physicians and Surgeons, All",1060,2170,NA,2012,"Hawaii",1395199
"3728","IA","Dental Hygienists",2021,2140,66320,2012,"Iowa",3076844
"3729","IA","Dentists, All",1020,950,192381.789473684,2012,"Iowa",3076844
"3730","IA","Nurses",1141,32170,52540,2012,"Iowa",3076844
"3731","IA","Physicians and Surgeons, All",1060,5660,209131.183745583,2012,"Iowa",3076844
"3732","ID","Dental Hygienists",2021,1210,71370,2012,"Idaho",1595910
"3733","ID","Dentists, All",1020,490,159910,2012,"Idaho",1595910
"3734","ID","Nurses",1141,11420,59100,2012,"Idaho",1595910
"3735","ID","Physicians and Surgeons, All",1060,1560,NA,2012,"Idaho",1595910
"3736","IL","Dental Hygienists",2021,8260,62970,2012,"Illinois",12883029
"3737","IL","Dentists, All",1020,5170,128016.924564797,2012,"Illinois",12883029
"3738","IL","Nurses",1141,114730,66260,2012,"Illinois",12883029
"3739","IL","Physicians and Surgeons, All",1060,27390,177034.556407448,2012,"Illinois",12883029
"3740","IN","Dental Hygienists",2021,4210,63390,2012,"Indiana",6538989
"3741","IN","Dentists, All",1020,2120,171335.424528302,2012,"Indiana",6538989
"3742","IN","Nurses",1141,58430,57520,2012,"Indiana",6538989
"3743","IN","Physicians and Surgeons, All",1060,12220,NA,2012,"Indiana",6538989
"3744","KS","Dental Hygienists",2021,1570,63840,2012,"Kansas",2886024
"3745","KS","Dentists, All",1020,780,NA,2012,"Kansas",2886024
"3746","KS","Nurses",1141,26380,56040,2012,"Kansas",2886024
"3747","KS","Physicians and Surgeons, All",1060,4990,NA,2012,"Kansas",2886024
"3748","KY","Dental Hygienists",2021,1890,56840,2012,"Kentucky",4387865
"3749","KY","Dentists, All",1020,1020,NA,2012,"Kentucky",4387865
"3750","KY","Nurses",1141,42920,57510,2012,"Kentucky",4387865
"3751","KY","Physicians and Surgeons, All",1060,7600,NA,2012,"Kentucky",4387865
"3752","LA","Dental Hygienists",2021,1650,60120,2012,"Louisiana",4602067
"3753","LA","Dentists, All",1020,950,NA,2012,"Louisiana",4602067
"3754","LA","Nurses",1141,40180,61260,2012,"Louisiana",4602067
"3755","LA","Physicians and Surgeons, All",1060,5390,199999.313543599,2012,"Louisiana",4602067
"3756","MA","Dental Hygienists",2021,5600,79030,2012,"Massachusetts",6664269
"3757","MA","Dentists, All",1020,4030,182109.751861042,2012,"Massachusetts",6664269
"3758","MA","Nurses",1141,79570,83370,2012,"Massachusetts",6664269
"3759","MA","Physicians and Surgeons, All",1060,17680,NA,2012,"Massachusetts",6664269
"3760","MD","Dental Hygienists",2021,2930,76680,2012,"Maryland",5888375
"3761","MD","Dentists, All",1020,2750,157267.890909091,2012,"Maryland",5888375
"3762","MD","Nurses",1141,45630,71090,2012,"Maryland",5888375
"3763","MD","Physicians and Surgeons, All",1060,17350,174690.853025937,2012,"Maryland",5888375
"3764","ME","Dental Hygienists",2021,1050,69100,2012,"Maine",1328094
"3765","ME","Dentists, All",1020,340,195800,2012,"Maine",1328094
"3766","ME","Nurses",1141,14260,60700,2012,"Maine",1328094
"3767","ME","Physicians and Surgeons, All",1060,3500,NA,2012,"Maine",1328094
"3768","MI","Dental Hygienists",2021,8960,59810,2012,"Michigan",9898289
"3769","MI","Dentists, All",1020,4210,161274.133016627,2012,"Michigan",9898289
"3770","MI","Nurses",1141,90540,64430,2012,"Michigan",9898289
"3771","MI","Physicians and Surgeons, All",1060,21990,172186.475670759,2012,"Michigan",9898289
"3772","MN","Dental Hygienists",2021,4630,68660,2012,"Minnesota",5377500
"3773","MN","Dentists, All",1020,1790,NA,2012,"Minnesota",5377500
"3774","MN","Nurses",1141,54940,70780,2012,"Minnesota",5377500
"3775","MN","Physicians and Surgeons, All",1060,9330,NA,2012,"Minnesota",5377500
"3776","MO","Dental Hygienists",2021,2940,69770,2012,"Missouri",6026027
"3777","MO","Dentists, All",1020,1670,154168.80239521,2012,"Missouri",6026027
"3778","MO","Nurses",1141,65260,56990,2012,"Missouri",6026027
"3779","MO","Physicians and Surgeons, All",1060,12750,NA,2012,"Missouri",6026027
"3780","MS","Dental Hygienists",2021,1120,50080,2012,"Mississippi",2984599
"3781","MS","Dentists, All",1020,660,165429.090909091,2012,"Mississippi",2984599
"3782","MS","Nurses",1141,28200,57740,2012,"Mississippi",2984599
"3783","MS","Physicians and Surgeons, All",1060,3080,NA,2012,"Mississippi",2984599
"3784","MT","Dental Hygienists",2021,700,67430,2012,"Montana",1004168
"3785","MT","Dentists, All",1020,360,111410,2012,"Montana",1004168
"3786","MT","Nurses",1141,8400,59920,2012,"Montana",1004168
